vehicle_id,model,date,battery_health_pct,range_km,charge_cycles,temperature_c,mileage_km
EV-001,Rivian EDV,2024-01-26,97.38,269.95,13,23.1,2129.78
EV-001,Rivian EDV,2024-01-27,97.36,270.23,15,23.45,4155.3
EV-001,Rivian EDV,2024-01-28,97.35,269.41,14,30.74,2231.39
EV-001,Rivian EDV,2024-01-29,97.32,269.74,16,13.01,3478.48
EV-001,Rivian EDV,2024-01-30,97.24,270.33,14,36.88,2881.81
EV-001,Rivian EDV,2024-01-31,97.17,269.84,20,35.31,4316.03
EV-001,Rivian EDV,2024-02-01,97.36,269.76,18,25.66,4608.73
EV-001,Rivian EDV,2024-02-02,97.29,270.08,19,24.78,2806.21
EV-001,Rivian EDV,2024-02-03,97.08,269.82,18,34.58,4851.55
EV-001,Rivian EDV,2024-02-04,97.16,269.33,15,39.23,3341.66
EV-001,Rivian EDV,2024-02-05,97.32,268.93,19,30.38,3530.32
EV-001,Rivian EDV,2024-02-06,97.02,268.9,20,27.12,3683.15
EV-001,Rivian EDV,2024-02-07,97.11,269.01,24,29.08,4157.34
EV-001,Rivian EDV,2024-02-08,97.03,268.95,25,31.92,4805.29
EV-001,Rivian EDV,2024-02-09,97.22,268.76,26,34.62,4005.83
EV-001,Rivian EDV,2024-02-10,97.24,269.43,21,27.97,3772.23
EV-001,Rivian EDV,2024-02-11,97.2,268.97,25,25.7,4290.44
EV-001,Rivian EDV,2024-02-12,97.12,269.31,24,31.24,6649.08
EV-001,Rivian EDV,2024-02-13,97.13,268.59,22,19.01,4644.27
EV-001,Rivian EDV,2024-02-14,97.05,268.95,29,27.97,5533.45
EV-001,Rivian EDV,2024-02-15,96.99,270.03,31,18.58,5291.8
EV-001,Rivian EDV,2024-02-16,97.2,268.46,28,27.23,5714.18
EV-001,Rivian EDV,2024-02-17,97.05,268.22,19,30.05,4909.42
EV-001,Rivian EDV,2024-02-18,97.23,269.53,26,19.95,7081.78
EV-001,Rivian EDV,2024-02-19,96.86,269.89,22,18.27,6550.88
EV-001,Rivian EDV,2024-02-20,97.13,269.5,24,33.3,4546.49
EV-001,Rivian EDV,2024-02-21,96.94,268.86,24,25.3,5792.71
EV-001,Rivian EDV,2024-02-22,97.17,268.69,22,24.66,7848.33
EV-001,Rivian EDV,2024-02-23,97.28,268.72,28,27.23,7089.39
EV-001,Rivian EDV,2024-02-24,97.11,269.59,37,28.9,5401.09
EV-001,Rivian EDV,2024-02-25,97.26,269.24,30,28.85,5837.27
EV-001,Rivian EDV,2024-02-26,96.81,269.28,38,35.26,5350.82
EV-001,Rivian EDV,2024-02-27,97.04,268.27,25,27.09,5165.32
EV-001,Rivian EDV,2024-02-28,96.71,268.19,23,20.15,8092.36
EV-001,Rivian EDV,2024-02-29,97.12,269.39,25,16.06,6741.64
EV-001,Rivian EDV,2024-03-01,96.85,269.67,40,18.71,5250.59
EV-001,Rivian EDV,2024-03-02,97.14,267.51,36,25.94,7401.48
EV-001,Rivian EDV,2024-03-03,96.84,268.69,38,28.52,5746.89
EV-001,Rivian EDV,2024-03-04,97.17,268.88,26,24.44,5514.55
EV-001,Rivian EDV,2024-03-05,97.04,267.22,28,24.7,7499.13
EV-001,Rivian EDV,2024-03-06,96.81,269.58,44,34.58,9810.74
EV-001,Rivian EDV,2024-03-07,97.06,269.65,44,47.12,8891.33
EV-001,Rivian EDV,2024-03-08,96.81,267.14,45,28.5,10008.19
EV-001,Rivian EDV,2024-03-09,96.79,267.47,41,21.79,9852.95
EV-001,Rivian EDV,2024-03-10,96.65,267.9,44,29.23,9116.2
EV-001,Rivian EDV,2024-03-11,97.06,268.84,32,25.49,9062.22
EV-001,Rivian EDV,2024-03-12,96.96,267.72,36,27.33,9551.57
EV-001,Rivian EDV,2024-03-13,96.95,268.82,39,21.74,11155.09
EV-001,Rivian EDV,2024-03-14,97.16,268.33,50,35.96,9040.16
EV-001,Rivian EDV,2024-03-15,96.88,267.84,42,24.31,7400.1
EV-001,Rivian EDV,2024-03-16,96.75,266.9,42,30.3,7431.58
EV-001,Rivian EDV,2024-03-17,96.66,267.24,35,31.8,9099.09
EV-001,Rivian EDV,2024-03-18,96.87,268.55,33,14.48,6489.47
EV-001,Rivian EDV,2024-03-19,96.42,266.8,39,28.62,9250.93
EV-001,Rivian EDV,2024-03-20,96.77,269.16,33,29.61,10127.43
EV-001,Rivian EDV,2024-03-21,96.72,268.73,54,25.94,12357.95
EV-001,Rivian EDV,2024-03-22,96.36,266.16,33,29.5,11255.99
EV-001,Rivian EDV,2024-03-23,96.7,267.05,56,33.33,12246.66
EV-001,Rivian EDV,2024-03-24,96.45,267.93,38,30.98,9273.77
EV-001,Rivian EDV,2024-03-25,96.39,268.83,46,30.67,12520.29
EV-001,Rivian EDV,2024-03-26,96.39,268.5,57,19.23,10824.84
EV-001,Rivian EDV,2024-03-27,96.83,266.85,46,36.87,8591.22
EV-001,Rivian EDV,2024-03-28,96.84,267.75,41,22.72,9780.21
EV-001,Rivian EDV,2024-03-29,96.62,266.64,55,31.33,11834.52
EV-001,Rivian EDV,2024-03-30,96.9,267.8,48,32.4,7710.19
EV-001,Rivian EDV,2024-03-31,96.63,267.64,57,28.27,9523.34
EV-001,Rivian EDV,2024-04-01,97.06,265.82,61,30.34,9121.77
EV-001,Rivian EDV,2024-04-02,96.46,268.89,41,23.79,14689.32
EV-001,Rivian EDV,2024-04-03,96.45,267.72,57,22.2,14249.49
EV-001,Rivian EDV,2024-04-04,96.19,268.91,48,26.15,8795.99
EV-001,Rivian EDV,2024-04-05,96.47,267.63,44,23.58,9621.13
EV-001,Rivian EDV,2024-04-06,96.73,268.09,51,38.37,9760.95
EV-001,Rivian EDV,2024-04-07,96.94,268.77,66,19.04,10993.12
EV-001,Rivian EDV,2024-04-08,96.5,265.44,41,28.85,9132.3
EV-001,Rivian EDV,2024-04-09,96.66,265.95,53,34.22,15723.47
EV-001,Rivian EDV,2024-04-10,96.68,266.01,51,29.55,8508.09
EV-001,Rivian EDV,2024-04-11,97.02,268.45,40,35.4,8688.9
EV-001,Rivian EDV,2024-04-12,96.34,266.79,63,29.0,14085.15
EV-001,Rivian EDV,2024-04-13,96.26,267.39,48,32.85,9929.57
EV-001,Rivian EDV,2024-04-14,96.78,267.78,48,30.02,8710.18
EV-001,Rivian EDV,2024-04-15,96.75,268.81,57,30.97,12400.17
EV-001,Rivian EDV,2024-04-16,96.15,267.58,68,30.48,12550.79
EV-001,Rivian EDV,2024-04-17,96.57,265.51,63,36.05,15451.18
EV-001,Rivian EDV,2024-04-18,96.04,266.18,74,37.66,13433.61
EV-001,Rivian EDV,2024-04-19,96.91,265.66,61,35.64,12651.94
EV-001,Rivian EDV,2024-04-20,96.01,267.5,61,33.81,12842.25
EV-001,Rivian EDV,2024-04-21,96.07,265.37,46,31.87,9287.25
EV-001,Rivian EDV,2024-04-22,96.3,267.21,51,17.08,13773.88
EV-001,Rivian EDV,2024-04-23,96.47,266.1,58,33.49,15346.91
EV-001,Rivian EDV,2024-04-24,96.78,265.55,59,28.26,17994.77
EV-001,Rivian EDV,2024-04-25,96.29,267.68,74,34.44,12374.76
EV-001,Rivian EDV,2024-04-26,96.58,268.54,65,15.12,17578.34
EV-001,Rivian EDV,2024-04-27,96.82,267.12,58,31.08,10223.84
EV-001,Rivian EDV,2024-04-28,96.4,265.4,65,25.73,9464.5
EV-001,Rivian EDV,2024-04-29,95.93,268.22,68,21.64,18909.17
EV-001,Rivian EDV,2024-04-30,96.31,264.17,56,29.15,16516.95
EV-001,Rivian EDV,2024-05-01,96.88,267.87,53,37.58,16331.76
EV-001,Rivian EDV,2024-05-02,95.92,264.91,49,25.85,13636.32
EV-001,Rivian EDV,2024-05-03,96.81,264.92,55,33.41,15389.42
EV-001,Rivian EDV,2024-05-04,95.9,268.08,69,23.78,14621.78
EV-001,Rivian EDV,2024-05-05,96.49,265.26,67,20.84,15841.99
EV-001,Rivian EDV,2024-05-06,96.0,265.68,72,15.95,13481.46
EV-001,Rivian EDV,2024-05-07,95.78,265.38,60,34.4,15222.2
EV-001,Rivian EDV,2024-05-08,96.5,263.67,51,24.3,15235.17
EV-001,Rivian EDV,2024-05-09,95.82,267.97,82,20.45,10894.34
EV-001,Rivian EDV,2024-05-10,95.81,268.14,52,29.04,19940.91
EV-001,Rivian EDV,2024-05-11,96.9,263.28,71,33.45,18055.95
EV-001,Rivian EDV,2024-05-12,95.81,264.57,73,35.45,12725.62
EV-001,Rivian EDV,2024-05-13,95.61,264.56,61,27.49,18473.67
EV-001,Rivian EDV,2024-05-14,96.18,264.54,84,28.08,20711.19
EV-001,Rivian EDV,2024-05-15,96.45,265.1,68,22.75,15706.09
EV-001,Rivian EDV,2024-05-16,96.13,265.3,62,24.5,12390.41
EV-001,Rivian EDV,2024-05-17,96.87,267.63,74,29.57,17602.88
EV-001,Rivian EDV,2024-05-18,95.77,267.66,90,24.64,21339.64
EV-001,Rivian EDV,2024-05-19,95.49,267.09,71,37.03,21422.12
EV-001,Rivian EDV,2024-05-20,95.85,267.94,88,31.19,20154.82
EV-001,Rivian EDV,2024-05-21,95.69,267.13,66,32.18,18428.8
EV-001,Rivian EDV,2024-05-22,95.56,266.37,81,25.0,19468.57
EV-001,Rivian EDV,2024-05-23,95.56,264.58,80,39.44,16459.24
EV-001,Rivian EDV,2024-05-24,96.01,266.08,74,23.52,14158.37
EV-001,Rivian EDV,2024-05-25,96.05,265.6,72,28.33,20074.37
EV-001,Rivian EDV,2024-05-26,95.82,267.11,96,38.23,18374.4
EV-001,Rivian EDV,2024-05-27,95.36,263.64,89,27.81,20916.01
EV-001,Rivian EDV,2024-05-28,96.61,266.84,90,37.85,13058.53
EV-001,Rivian EDV,2024-05-29,96.01,265.77,80,27.77,19119.18
EV-001,Rivian EDV,2024-05-30,96.06,264.77,81,36.49,12146.44
EV-001,Rivian EDV,2024-05-31,95.9,264.57,92,25.16,19316.27
EV-001,Rivian EDV,2024-06-01,95.54,262.13,76,25.56,15661.22
EV-001,Rivian EDV,2024-06-02,95.85,262.37,67,19.29,13473.73
EV-001,Rivian EDV,2024-06-03,96.39,263.45,88,35.23,16933.04
EV-001,Rivian EDV,2024-06-04,96.68,267.43,66,32.03,22821.45
EV-001,Rivian EDV,2024-06-05,95.36,267.12,73,25.59,22931.89
EV-001,Rivian EDV,2024-06-06,96.25,265.91,73,25.43,20195.15
EV-001,Rivian EDV,2024-06-07,96.17,263.14,72,30.85,14084.34
EV-001,Rivian EDV,2024-06-08,96.1,262.33,107,35.91,18643.71
EV-001,Rivian EDV,2024-06-09,95.99,261.93,92,30.83,14918.57
EV-001,Rivian EDV,2024-06-10,96.7,265.78,102,18.82,16455.32
EV-001,Rivian EDV,2024-06-11,96.39,266.39,89,27.78,20182.68
EV-001,Rivian EDV,2024-06-12,95.34,264.26,74,30.58,16946.73
EV-001,Rivian EDV,2024-06-13,96.23,265.12,86,24.6,19263.2
EV-001,Rivian EDV,2024-06-14,95.7,265.21,107,34.77,20954.39
EV-001,Rivian EDV,2024-06-15,96.24,262.94,92,18.79,19880.32
EV-001,Rivian EDV,2024-06-16,95.45,266.98,83,44.78,14368.72
EV-001,Rivian EDV,2024-06-17,95.45,265.82,112,36.49,26596.84
EV-001,Rivian EDV,2024-06-18,95.29,261.77,88,28.75,20979.29
EV-001,Rivian EDV,2024-06-19,96.28,266.27,93,17.75,21344.43
EV-001,Rivian EDV,2024-06-20,95.19,263.78,105,34.06,24696.71
EV-001,Rivian EDV,2024-06-21,95.0,263.42,110,26.35,18218.1
EV-001,Rivian EDV,2024-06-22,96.54,263.16,107,21.65,25578.09
EV-001,Rivian EDV,2024-06-23,96.47,261.43,103,31.16,22616.68
EV-001,Rivian EDV,2024-06-24,96.1,261.73,89,29.57,14479.19
EV-001,Rivian EDV,2024-06-25,95.22,265.06,111,33.7,17170.71
EV-001,Rivian EDV,2024-06-26,94.95,261.95,76,25.83,22171.4
EV-001,Rivian EDV,2024-06-27,94.91,264.09,80,41.67,24801.62
EV-001,Rivian EDV,2024-06-28,95.41,264.54,83,11.3,23557.18
EV-001,Rivian EDV,2024-06-29,95.9,266.45,120,34.62,26245.21
EV-001,Rivian EDV,2024-06-30,95.69,261.49,99,34.91,15452.7
EV-001,Rivian EDV,2024-07-01,95.91,263.74,112,22.61,25220.61
EV-001,Rivian EDV,2024-07-02,96.18,262.71,100,22.54,23033.03
EV-001,Rivian EDV,2024-07-03,95.1,264.35,116,16.87,28830.99
EV-001,Rivian EDV,2024-07-04,96.29,266.64,116,22.06,15810.1
EV-001,Rivian EDV,2024-07-05,95.07,264.03,125,32.49,29005.69
EV-001,Rivian EDV,2024-07-06,95.88,260.13,82,37.01,22196.97
EV-001,Rivian EDV,2024-07-07,96.11,263.19,84,29.42,29406.75
EV-001,Rivian EDV,2024-07-08,96.32,262.51,102,29.4,20327.08
EV-001,Rivian EDV,2024-07-09,95.94,264.07,116,22.33,16354.19
EV-001,Rivian EDV,2024-07-10,96.45,267.17,131,41.82,15360.28
EV-001,Rivian EDV,2024-07-11,96.4,264.75,123,29.31,16691.79
EV-001,Rivian EDV,2024-07-12,94.74,261.29,114,39.68,27159.51
EV-001,Rivian EDV,2024-07-13,95.18,262.18,134,29.6,26278.08
EV-001,Rivian EDV,2024-07-14,96.48,261.88,80,32.41,24776.91
EV-001,Rivian EDV,2024-07-15,94.62,262.73,106,23.6,27142.45
EV-001,Rivian EDV,2024-07-16,96.19,266.16,103,25.83,28294.59
EV-001,Rivian EDV,2024-07-17,95.09,266.61,106,41.15,26138.65
EV-001,Rivian EDV,2024-07-18,95.84,262.56,108,30.04,30009.17
EV-001,Rivian EDV,2024-07-19,95.5,263.48,104,36.0,24614.42
EV-001,Rivian EDV,2024-07-20,95.22,261.05,111,29.91,22943.22
EV-001,Rivian EDV,2024-07-21,94.78,263.59,108,25.37,31230.65
EV-001,Rivian EDV,2024-07-22,96.4,266.87,84,20.88,17677.94
EV-001,Rivian EDV,2024-07-23,96.46,263.01,117,23.93,17816.53
EV-001,Rivian EDV,2024-07-24,95.84,262.62,127,18.87,16454.88
EV-001,Rivian EDV,2024-07-25,95.57,264.44,135,32.0,21049.34
EV-001,Rivian EDV,2024-07-26,94.64,266.49,89,37.68,23045.4
EV-001,Rivian EDV,2024-07-27,96.26,258.89,132,31.38,32985.98
EV-001,Rivian EDV,2024-07-28,94.67,261.8,140,18.8,33259.17
EV-001,Rivian EDV,2024-07-29,94.95,266.26,109,25.14,30754.79
EV-001,Rivian EDV,2024-07-30,96.25,266.39,108,31.58,17500.04
EV-001,Rivian EDV,2024-07-31,94.47,259.76,135,20.5,25749.7
EV-001,Rivian EDV,2024-08-01,95.22,262.27,101,31.43,25819.82
EV-001,Rivian EDV,2024-08-02,95.44,258.2,143,41.41,29923.56
EV-001,Rivian EDV,2024-08-03,96.41,259.01,141,24.0,25067.83
EV-001,Rivian EDV,2024-08-04,95.63,264.33,117,27.59,33377.87
EV-001,Rivian EDV,2024-08-05,94.88,264.22,103,26.87,17448.23
EV-001,Rivian EDV,2024-08-06,94.95,266.22,122,33.44,27403.8
EV-001,Rivian EDV,2024-08-07,95.01,261.86,144,28.22,30378.1
EV-001,Rivian EDV,2024-08-08,95.31,258.97,104,26.4,23478.56
EV-001,Rivian EDV,2024-08-09,95.93,258.36,95,26.39,30038.16
EV-001,Rivian EDV,2024-08-10,96.03,258.74,152,34.24,17851.38
EV-001,Rivian EDV,2024-08-11,94.62,264.51,149,27.43,17859.98
EV-001,Rivian EDV,2024-08-12,95.19,259.75,106,31.92,19995.92
EV-001,Rivian EDV,2024-08-13,95.59,266.42,145,16.64,20312.08
EV-001,Rivian EDV,2024-08-14,95.79,266.32,119,25.89,21325.31
EV-001,Rivian EDV,2024-08-15,94.71,259.3,102,34.64,32158.71
EV-001,Rivian EDV,2024-08-16,94.26,264.93,143,26.6,19296.47
EV-001,Rivian EDV,2024-08-17,96.24,258.62,159,39.08,30705.28
EV-001,Rivian EDV,2024-08-18,95.38,260.45,133,24.23,33515.84
EV-001,Rivian EDV,2024-08-19,95.54,258.82,109,26.99,18499.02
EV-001,Rivian EDV,2024-08-20,96.03,262.02,158,35.79,24097.83
EV-001,Rivian EDV,2024-08-21,94.44,259.14,109,28.65,21088.09
EV-001,Rivian EDV,2024-08-22,94.36,257.31,95,30.59,34769.78
EV-001,Rivian EDV,2024-08-23,94.12,259.16,125,29.46,24664.7
EV-001,Rivian EDV,2024-08-24,95.62,259.45,147,30.12,32377.77
EV-001,Rivian EDV,2024-08-25,95.04,261.8,133,26.27,21979.3
EV-001,Rivian EDV,2024-08-26,95.88,265.38,106,37.76,19380.09
EV-001,Rivian EDV,2024-08-27,94.46,263.41,160,13.11,37618.82
EV-001,Rivian EDV,2024-08-28,95.91,261.77,96,37.83,23952.77
EV-001,Rivian EDV,2024-08-29,95.01,264.01,108,37.01,31841.3
EV-001,Rivian EDV,2024-08-30,95.56,260.45,128,39.78,27017.75
EV-001,Rivian EDV,2024-08-31,93.97,259.13,145,25.69,34157.23
EV-001,Rivian EDV,2024-09-01,94.01,257.27,150,24.28,21526.51
EV-001,Rivian EDV,2024-09-02,94.93,265.93,133,30.62,23722.85
EV-001,Rivian EDV,2024-09-03,95.48,258.45,167,28.38,37048.26
EV-001,Rivian EDV,2024-09-04,96.12,257.92,125,23.32,26124.59
EV-001,Rivian EDV,2024-09-05,93.89,264.05,150,30.11,22304.52
EV-001,Rivian EDV,2024-09-06,94.08,260.1,145,28.8,32129.85
EV-001,Rivian EDV,2024-09-07,95.56,256.65,171,35.59,32245.16
EV-001,Rivian EDV,2024-09-08,95.09,259.35,142,31.36,32077.32
EV-001,Rivian EDV,2024-09-09,94.32,261.12,103,26.67,34772.5
EV-001,Rivian EDV,2024-09-10,94.79,259.37,137,20.71,32702.62
EV-001,Rivian EDV,2024-09-11,95.45,261.15,158,26.88,21207.2
EV-001,Rivian EDV,2024-09-12,95.87,265.69,151,34.26,27179.22
EV-001,Rivian EDV,2024-09-13,94.89,260.83,108,19.78,29048.83
EV-001,Rivian EDV,2024-09-14,95.75,257.23,116,25.15,40313.65
EV-001,Rivian EDV,2024-09-15,95.2,257.11,151,33.24,31060.0
EV-001,Rivian EDV,2024-09-16,94.86,260.5,149,32.61,21329.05
EV-001,Rivian EDV,2024-09-17,95.23,259.5,150,31.6,41436.37
EV-001,Rivian EDV,2024-09-18,95.51,262.04,134,34.8,30606.17
EV-001,Rivian EDV,2024-09-19,94.06,263.29,165,37.94,34218.05
EV-001,Rivian EDV,2024-09-20,95.26,260.35,137,18.76,22494.55
EV-001,Rivian EDV,2024-09-21,95.08,264.7,137,37.25,35114.56
EV-001,Rivian EDV,2024-09-22,95.98,258.79,130,38.83,29659.77
EV-001,Rivian EDV,2024-09-23,93.95,265.59,153,18.29,26323.95
EV-001,Rivian EDV,2024-09-24,95.6,256.23,142,37.28,28427.8
EV-001,Rivian EDV,2024-09-25,95.02,258.47,118,41.14,41777.63
EV-001,Rivian EDV,2024-09-26,95.53,261.76,138,20.44,34551.18
EV-001,Rivian EDV,2024-09-27,95.25,259.84,171,25.19,40267.07
EV-001,Rivian EDV,2024-09-28,94.69,259.73,111,38.75,43071.5
EV-001,Rivian EDV,2024-09-29,95.86,263.05,113,20.58,25677.03
EV-001,Rivian EDV,2024-09-30,95.95,264.42,157,31.78,36870.46
EV-001,Rivian EDV,2024-10-01,95.1,260.27,165,28.41,27492.6
EV-001,Rivian EDV,2024-10-02,94.75,261.74,153,30.4,24766.31
EV-001,Rivian EDV,2024-10-03,95.81,263.9,188,23.6,26238.75
EV-001,Rivian EDV,2024-10-04,94.15,263.74,130,31.03,43507.77
EV-001,Rivian EDV,2024-10-05,95.46,258.09,192,27.38,27669.84
EV-001,Rivian EDV,2024-10-06,93.85,255.78,175,27.84,24844.61
EV-001,Rivian EDV,2024-10-07,93.93,255.12,162,33.04,30208.05
EV-001,Rivian EDV,2024-10-08,95.71,258.59,139,38.89,41957.54
EV-001,Rivian EDV,2024-10-09,93.35,256.88,120,24.37,37235.54
EV-001,Rivian EDV,2024-10-10,93.98,254.87,150,26.04,43047.14
EV-001,Rivian EDV,2024-10-11,93.65,261.72,187,19.19,37466.98
EV-001,Rivian EDV,2024-10-12,95.2,258.12,166,22.61,35646.41
EV-001,Rivian EDV,2024-10-13,95.04,259.01,165,15.09,23215.58
EV-001,Rivian EDV,2024-10-14,94.44,263.33,170,38.61,40394.55
EV-001,Rivian EDV,2024-10-15,94.68,259.0,197,28.54,28709.44
EV-001,Rivian EDV,2024-10-16,94.74,260.67,163,20.91,40387.77
EV-001,Rivian EDV,2024-10-17,94.03,259.16,187,33.5,24853.7
EV-001,Rivian EDV,2024-10-18,93.33,257.57,149,27.04,27869.75
EV-001,Rivian EDV,2024-10-19,94.7,262.89,131,30.77,39013.44
EV-001,Rivian EDV,2024-10-20,93.37,258.91,168,42.08,25540.84
EV-001,Rivian EDV,2024-10-21,93.98,260.42,203,28.55,26418.2
EV-001,Rivian EDV,2024-10-22,93.55,255.67,134,35.89,30568.57
EV-001,Rivian EDV,2024-10-23,93.73,262.89,199,23.06,42996.93
EV-001,Rivian EDV,2024-10-24,94.96,258.81,128,27.1,23821.4
EV-001,Rivian EDV,2024-10-25,94.17,258.91,172,31.48,28006.6
EV-001,Rivian EDV,2024-10-26,94.98,254.19,188,34.96,37234.76
EV-001,Rivian EDV,2024-10-27,95.29,261.38,185,30.61,43428.72
EV-001,Rivian EDV,2024-10-28,93.75,263.18,158,33.35,27763.85
EV-001,Rivian EDV,2024-10-29,95.34,254.47,163,20.13,31704.49
EV-001,Rivian EDV,2024-10-30,95.35,262.45,179,28.87,30466.86
EV-001,Rivian EDV,2024-10-31,94.12,264.22,134,32.0,40756.46
EV-001,Rivian EDV,2024-11-01,94.68,259.47,188,18.7,24786.03
EV-001,Rivian EDV,2024-11-02,94.98,254.87,177,32.09,43393.8
EV-001,Rivian EDV,2024-11-03,95.21,256.94,177,26.36,34413.18
EV-001,Rivian EDV,2024-11-04,94.89,260.61,180,35.43,41139.01
EV-001,Rivian EDV,2024-11-05,95.8,256.91,148,26.71,39374.31
EV-001,Rivian EDV,2024-11-06,93.9,261.94,166,19.0,49487.92
EV-001,Rivian EDV,2024-11-07,94.62,260.64,178,20.02,27088.53
EV-001,Rivian EDV,2024-11-08,93.0,256.84,195,26.04,35510.32
EV-001,Rivian EDV,2024-11-09,93.42,264.73,153,20.86,49610.16
EV-001,Rivian EDV,2024-11-10,94.5,259.92,136,33.19,31240.66
EV-001,Rivian EDV,2024-11-11,93.87,263.54,150,32.58,45055.13
EV-001,Rivian EDV,2024-11-12,93.25,256.99,174,26.26,33917.53
EV-001,Rivian EDV,2024-11-13,94.77,260.27,149,25.55,38286.61
EV-001,Rivian EDV,2024-11-14,93.34,261.09,217,30.19,39853.68
EV-001,Rivian EDV,2024-11-15,94.72,258.23,165,36.41,39293.98
EV-001,Rivian EDV,2024-11-16,93.95,255.97,179,23.78,31026.75
EV-001,Rivian EDV,2024-11-17,93.33,260.44,130,30.6,29629.36
EV-001,Rivian EDV,2024-11-18,95.23,252.24,184,28.74,38108.17
EV-001,Rivian EDV,2024-11-19,94.93,256.71,142,32.26,49051.08
EV-001,Rivian EDV,2024-11-20,93.25,260.41,222,31.06,29076.07
EV-001,Rivian EDV,2024-11-21,94.38,257.93,152,33.99,28079.1
EV-001,Rivian EDV,2024-11-22,93.4,262.89,188,32.35,26088.67
EV-001,Rivian EDV,2024-11-23,95.87,256.58,166,25.25,36269.82
EV-001,Rivian EDV,2024-11-24,94.07,261.93,152,37.84,42495.62
EV-001,Rivian EDV,2024-11-25,94.94,258.76,148,27.4,28284.26
EV-001,Rivian EDV,2024-11-26,93.33,260.9,149,33.62,43116.21
EV-001,Rivian EDV,2024-11-27,95.15,261.31,154,37.13,31080.97
EV-001,Rivian EDV,2024-11-28,93.72,253.1,204,25.4,43932.25
EV-001,Rivian EDV,2024-11-29,94.71,257.35,181,35.96,31352.27
EV-001,Rivian EDV,2024-11-30,94.6,251.45,158,26.6,47837.82
EV-001,Rivian EDV,2024-12-01,93.93,255.18,153,21.72,43387.81
EV-001,Rivian EDV,2024-12-02,94.79,253.07,197,27.27,34026.08
EV-001,Rivian EDV,2024-12-03,93.7,257.54,161,25.39,30983.45
EV-001,Rivian EDV,2024-12-04,95.44,252.56,159,34.55,43644.76
EV-001,Rivian EDV,2024-12-05,92.95,258.91,232,31.2,30730.89
EV-001,Rivian EDV,2024-12-06,95.51,255.25,232,29.95,34083.19
EV-001,Rivian EDV,2024-12-07,93.19,252.93,187,27.0,37819.6
EV-001,Rivian EDV,2024-12-08,94.31,261.06,228,34.07,30251.77
EV-001,Rivian EDV,2024-12-09,92.45,258.06,142,27.22,28483.32
EV-001,Rivian EDV,2024-12-10,93.27,255.06,220,13.4,40232.78
EV-001,Rivian EDV,2024-12-11,92.41,250.71,235,29.11,49234.06
EV-001,Rivian EDV,2024-12-12,94.6,258.38,195,23.21,41925.72
EV-001,Rivian EDV,2024-12-13,92.7,253.21,162,27.13,54853.51
EV-001,Rivian EDV,2024-12-14,93.5,263.9,165,26.73,54561.57
EV-001,Rivian EDV,2024-12-15,94.14,251.52,173,27.3,31416.52
EV-001,Rivian EDV,2024-12-16,94.15,262.41,191,28.25,45261.99
EV-001,Rivian EDV,2024-12-17,95.25,263.37,152,32.98,44886.77
EV-001,Rivian EDV,2024-12-18,95.46,258.67,198,21.31,35869.96
EV-001,Rivian EDV,2024-12-19,92.52,254.4,193,25.79,28599.07
EV-001,Rivian EDV,2024-12-20,92.28,254.42,175,25.9,43726.55
EV-001,Rivian EDV,2024-12-21,93.53,260.77,246,31.3,49648.65
EV-001,Rivian EDV,2024-12-22,93.79,261.31,148,34.75,36150.56
